tissue	assay	species	filename	original
Gut	ATAC	danio_rerio	GSE243256_hpf24_Gut.narrow_peak.gz	GSE243256_hpf24_Gut.narrow_peak.gz
Notochord	ATAC	danio_rerio	GSE243256_hpf42_Notochord.narrow_peak.gz	GSE243256_hpf42_Notochord.narrow_peak.gz
Otic_placode	ATAC	danio_rerio	GSE243256_hpf48_Otic_placode.narrow_peak.gz	GSE243256_hpf48_Otic_placode.narrow_peak.gz
Hatching_gland	ATAC	danio_rerio	GSE243256_hpf42_Hatching_gland.narrow_peak.gz	GSE243256_hpf42_Hatching_gland.narrow_peak.gz
Diencephalon_aplnr2	ATAC	danio_rerio	GSE243256_hpf12_Diencephalon_aplnr2.narrow_peak.gz	GSE243256_hpf12_Diencephalon_aplnr2.narrow_peak.gz
Differentiating_neurons_dlx1a	ATAC	danio_rerio	GSE243256_hpf30_Differentiating_neurons_dlx1a.narrow_peak.gz	GSE243256_hpf30_Differentiating_neurons_dlx1a.narrow_peak.gz
Differentiating_neurons	ATAC	danio_rerio	GSE243256_hpf38_Differentiating_neurons.narrow_peak.gz	GSE243256_hpf38_Differentiating_neurons.narrow_peak.gz
Cardiac_muscle	ATAC	danio_rerio	GSE243256_hpf42_Cardiac_muscle.narrow_peak.gz	GSE243256_hpf42_Cardiac_muscle.narrow_peak.gz
Blood_island	ATAC	danio_rerio	GSE243256_hpf14_Blood_island.narrow_peak.gz	GSE243256_hpf14_Blood_island.narrow_peak.gz
EVL	ATAC	danio_rerio	GSE243256_hpf6_EVL.narrow_peak.gz	GSE243256_hpf6_EVL.narrow_peak.gz
Floorplate	ATAC	danio_rerio	GSE243256_hpf30_Floorplate.narrow_peak.gz	GSE243256_hpf30_Floorplate.narrow_peak.gz
Hindbrain_ventral	ATAC	danio_rerio	GSE243256_hpf30_Hindbrain_ventral.narrow_peak.gz	GSE243256_hpf30_Hindbrain_ventral.narrow_peak.gz
Cranial_ganglia	ATAC	danio_rerio	GSE243256_hpf30_Cranial_ganglia.narrow_peak.gz	GSE243256_hpf30_Cranial_ganglia.narrow_peak.gz
Notochord	ATAC	danio_rerio	GSE243256_hpf38_Notochord.narrow_peak.gz	GSE243256_hpf38_Notochord.narrow_peak.gz
Pronephric_duct	ATAC	danio_rerio	GSE243256_hpf42_Pronephric_duct.narrow_peak.gz	GSE243256_hpf42_Pronephric_duct.narrow_peak.gz
Differentiating_neurons	ATAC	danio_rerio	GSE243256_hpf42_Differentiating_neurons.narrow_peak.gz	GSE243256_hpf42_Differentiating_neurons.narrow_peak.gz
Retina_neuroblasts	ATAC	danio_rerio	GSE243256_hpf30_Retina_neuroblasts.narrow_peak.gz	GSE243256_hpf30_Retina_neuroblasts.narrow_peak.gz
Epidermal	ATAC	danio_rerio	GSE243256_hpf34_Epidermal.narrow_peak.gz	GSE243256_hpf34_Epidermal.narrow_peak.gz
Erythroid	ATAC	danio_rerio	GSE243256_hpf38_Erythroid.narrow_peak.gz	GSE243256_hpf38_Erythroid.narrow_peak.gz
Endoderm	ATAC	danio_rerio	GSE243256_hpf12_Endoderm.narrow_peak.gz	GSE243256_hpf12_Endoderm.narrow_peak.gz
Retina_neuroblasts	ATAC	danio_rerio	GSE243256_hpf72_Retina_neuroblasts.narrow_peak.gz	GSE243256_hpf72_Retina_neuroblasts.narrow_peak.gz
YSL	ATAC	danio_rerio	GSE243256_hpf18_YSL.narrow_peak.gz	GSE243256_hpf18_YSL.narrow_peak.gz
Neural_crest_derived_mesoderm	ATAC	danio_rerio	GSE243256_hpf30_Neural_crest_derived_mesoderm.narrow_peak.gz	GSE243256_hpf30_Neural_crest_derived_mesoderm.narrow_peak.gz
Pronephric_duct	ATAC	danio_rerio	GSE243256_hpf14_Pronephric_duct.narrow_peak.gz	GSE243256_hpf14_Pronephric_duct.narrow_peak.gz
Otic_placode	ATAC	danio_rerio	GSE243256_hpf24_Otic_placode.narrow_peak.gz	GSE243256_hpf24_Otic_placode.narrow_peak.gz
Lens_placode	ATAC	danio_rerio	GSE243256_hpf18_Lens_placode.narrow_peak.gz	GSE243256_hpf18_Lens_placode.narrow_peak.gz
Epidermal	ATAC	danio_rerio	GSE243256_hpf18_Epidermal.narrow_peak.gz	GSE243256_hpf18_Epidermal.narrow_peak.gz
Lens	ATAC	danio_rerio	GSE243256_hpf72_Lens.narrow_peak.gz	GSE243256_hpf72_Lens.narrow_peak.gz
Differentiating_neurons	ATAC	danio_rerio	GSE243256_hpf18_Differentiating_neurons.narrow_peak.gz	GSE243256_hpf18_Differentiating_neurons.narrow_peak.gz
Epidermal_foxi3a	ATAC	danio_rerio	GSE243256_hpf12_Epidermal_foxi3a.narrow_peak.gz	GSE243256_hpf12_Epidermal_foxi3a.narrow_peak.gz
Neural_crest	ATAC	danio_rerio	GSE243256_hpf12_Neural_crest.narrow_peak.gz	GSE243256_hpf12_Neural_crest.narrow_peak.gz
Mesoderm_adaxial_cells	ATAC	danio_rerio	GSE243256_hpf10_Mesoderm_adaxial_cells.narrow_peak.gz	GSE243256_hpf10_Mesoderm_adaxial_cells.narrow_peak.gz
Myotome	ATAC	danio_rerio	GSE243256_hpf48_Myotome.narrow_peak.gz	GSE243256_hpf48_Myotome.narrow_peak.gz
Notochord	ATAC	danio_rerio	GSE243256_hpf11_Notochord.narrow_peak.gz	GSE243256_hpf11_Notochord.narrow_peak.gz
Floorplate	ATAC	danio_rerio	GSE243256_hpf22_Floorplate.narrow_peak.gz	GSE243256_hpf22_Floorplate.narrow_peak.gz
Retina_pigmented_epithelium	ATAC	danio_rerio	GSE243256_hpf22_Retina_pigmented_epithelium.narrow_peak.gz	GSE243256_hpf22_Retina_pigmented_epithelium.narrow_peak.gz
Epidermal	ATAC	danio_rerio	GSE243256_hpf14_Epidermal.narrow_peak.gz	GSE243256_hpf14_Epidermal.narrow_peak.gz
Diencephalon	ATAC	danio_rerio	GSE243256_hpf30_Diencephalon.narrow_peak.gz	GSE243256_hpf30_Diencephalon.narrow_peak.gz
