tissue	assay	species	filename	original
Adipose_Primary_1:derived,Adipocytes,AFMSC	ATAC	homo_sapiens	Adipose_Primary_1_ATAC.bed.gz	ENCFF439BHU,ENCFF947TRP
Adrenal Gland_Primary_1:Adrenal	ATAC	homo_sapiens	Adrenal Gland_Primary_1_ATAC.bed.gz	ENCFF481XYV,ENCFF545QTY,ENCFF191QUI,ENCFF576KAO,ENCFF431LKC,ENCFF433ETJ,ENCFF496ZFE
Amion_Primary_1:Amniotic,Epithelial	ATAC	homo_sapiens	Amion_Primary_1_ATAC.bed.gz	ENCFF814MHD,ENCFF888IWI
Blood_Cancer_1:Myeloid,nan	ATAC	homo_sapiens	Blood_Cancer_1_ATAC.bed.gz	ENCFF854TXU,ENCFF021UTP,ENCFF201KEN,ENCFF103YEL
Blood_Cancer_2:NonHodgkin,Bcell,Burkitts,lymphoma,Lymphoma	ATAC	homo_sapiens	Blood_Cancer_2_ATAC.bed.gz	ENCFF284YOT,ENCFF231VDL,ENCFF873MKS,ENCFF915MUD,ENCFF029JUH,ENCFF045RSA
Blood_Cancer_3:blood,myeloma,peripheral,plasmacytoma	ATAC	homo_sapiens	Blood_Cancer_3_ATAC.bed.gz	ENCFF314ZPQ,ENCFF650QIF,ENCFF470GHV
Blood_Cancer_4:B,lymphoma,nonhodgkin	ATAC	homo_sapiens	Blood_Cancer_4_ATAC.bed.gz	ENCFF558JEY
Blood_Cancer_5:line,haploid,KBM7,derived,nearhaploid,Parental	ATAC	homo_sapiens	Blood_Cancer_5_ATAC.bed.gz	ENCFF604YQO,ENCFF759SVN
Blood_Cancer_6:Leukemia,leukemia,Acute,T	ATAC	homo_sapiens	Blood_Cancer_6_ATAC.bed.gz	ENCFF352LQJ,ENCFF894CLW,ENCFF097YNO,ENCFF336HBJ,ENCFF201ECY
Blood_Cancer_7:P00174E07,Haplogen,Clone	ATAC	homo_sapiens	Blood_Cancer_7_ATAC.bed.gz	ENCFF073ISQ,ENCFF459VXT,ENCFF564GYS
Blood_Lines_1:Lymphoblastoid	ATAC	homo_sapiens	Blood_Lines_1_ATAC.bed.gz	ENCFF983CTQ,ENCFF161BIS,ENCFF170ICJ,ENCFF284XMQ,ENCFF620NKS,ENCFF644LSI,ENCFF795JZY
Blood_Primary_1:CD,34,control,0,CD34,Hematopoietic,progenitor	ATAC	homo_sapiens	Blood_Primary_1_ATAC.bed.gz	ENCFF391TWO,ENCFF593WNV,ENCFF486DGO,ENCFF464YOJ
